,Entity,Code,Year,AvgCigarettePriceDollars,AvgTaxesAsPctCigarettePrice,EnforceBansTobaccoAd,HelpToQuit,ProductionMT,SalePerDay,GDP_USD,ProductionUSD
73,Greece,GRC,2012,4.71,83.2,4,4,,7,21915.19,
74,Greece,GRC,2014,5.75,81.6,4,4,14763.904,,21601.78,108.0063675
75,Guatemala,GTM,2012,2.92,49,2,4,,,3355.04,
76,Guatemala,GTM,2014,3.22,49,2,4,,,3779.64,
77,Honduras,HND,2012,3.18,36.2,4,4,,,2144.34,
78,Honduras,HND,2014,3.38,38.1,4,4,,,2206.05,
79,Hungary,HUN,2012,4.82,84.1,4,4,3092,3.299999952,12950.69,104.378341
80,Hungary,HUN,2014,6.74,77.4,4,4,2185,,14267.01,70.012396
81,Iceland,ISL,2012,7.42,56.9,4,3,,2.700000048,45995.55,
82,Iceland,ISL,2014,8.89,56.4,4,3,,2.299999952,54576.74,
83,India,IND,2012,5.33,33.2,4,4,,,1443.88,1545.542413
84,India,IND,2014,4.63,66.1,4,4,,,1573.89,1200.914044
85,Indonesia,IDN,2012,2.2,35.5,2,3,,,3694.36,
86,Indonesia,IDN,2014,2.68,50.8,2,3,,,3491.64,
87,Iran,IRN,2012,2.26,2.7,5,5,,,,
88,Iran,IRN,2014,2.52,4.3,5,5,,,,
89,Ireland,IRL,2012,10.59,78.8,4,5,,,49028.83,
90,Ireland,IRL,2014,11.16,77.8,4,5,,,55525.9,
91,Israel,ISR,2014,7.15,85,2,5,,3.299999952,37738.42,
92,Italy,ITA,2012,5.44,75.5,4,4,,,35053.53,
93,Italy,ITA,2014,5.43,76.1,4,4,,,35518.42,
94,Jamaica,JAM,2012,12.19,46.1,2,4,,,5209.86,
95,Jamaica,JAM,2014,13,42.9,2,4,,,4834.28,
96,Japan,JPN,2012,4.04,63.2,2,4,7,4.900000095,49145.28,2.506565363
97,Japan,JPN,2014,4.34,62.9,2,4,3,4.5,38475.4,1.887775859
98,Kazakhstan,KAZ,2012,1.26,27,4,4,727,,12386.7,
99,Kazakhstan,KAZ,2014,1.45,39.7,4,4,1,,12807.26,
100,Kenya,KEN,2012,1.69,48.8,5,4,,,1136.87,
101,Kenya,KEN,2014,1.78,49.3,5,4,,,1315.8,
102,Latvia,LVA,2012,4.58,78.7,4,4,,2.900000095,13923.47,
103,Latvia,LVA,2014,7.13,77.3,4,4,,2.799999952,15713.54,
104,Lebanon,LBN,2012,2.35,44.4,4,4,,,7952.15,
105,Lebanon,LBN,2014,2.67,48.3,4,4,,,7687.93,
106,Lithuania,LTU,2012,4.82,75.8,4,4,0,3.5,14367.71,0
107,Lithuania,LTU,2014,5.11,77.6,4,4,0,4,16551.02,0
108,Luxembourg,LUX,2012,4.26,71.1,4,4,,,106749.01,
109,Luxembourg,LUX,2014,4.47,70.7,4,4,,,118823.65,
110,Malaysia,MYS,2012,5.02,58.4,4,4,,,10817.43,
111,Malaysia,MYS,2014,6.1,59.8,4,4,,,11319.06,
112,Mali,MLI,2014,1.85,38.1,4,3,,,848.28,
113,Mexico,MEX,2012,4.56,66.5,2,4,,,10241.73,
114,Mexico,MEX,2014,5.15,65.8,2,5,,,10928.92,
115,Moldova,MDA,2012,1.95,44.6,4,3,,,3045.74,
116,Moldova,MDA,2014,2.06,51.6,4,4,,,3328.8,
117,Mongolia,MNG,2012,0,0,4,4,,,4351.89,37.76158212
118,Mongolia,MNG,2014,2.54,44.2,4,4,,,4158.52,50.07821336
119,Morocco,MAR,2012,4.08,68,4,3,,,2912.66,
120,Morocco,MAR,2014,4.81,68.4,4,3,,,3171.7,
121,Nepal,NPL,2012,1.78,32.9,4,3,,,804.14,
122,Nepal,NPL,2014,1.73,46.6,5,3,,,844.85,
123,Netherlands,NLD,2012,6.17,73.1,4,4,107623,1.5,50073.01,832.5906727
124,Netherlands,NLD,2014,7.22,74.8,4,5,45974,,52830.17,487.8147884
125,New Zealand,NZL,2012,8.53,73.3,4,5,,,39973.38,
126,New Zealand,NZL,2014,10.61,75,4,5,,,44572.9,
127,Nicaragua,NIC,2012,2.84,30.5,2,3,,,1760.47,
128,Nigeria,NGA,2012,1.75,21.7,2,4,,,2723.82,
129,North Macedonia,MKD,2012,2.81,70.8,4,3,,,4697.2,
130,North Macedonia,MKD,2014,3.05,69.8,4,4,,,5468.13,
131,Norway,NOR,2012,8.33,72.8,4,4,,,101524.14,
132,Norway,NOR,2014,9.31,67.2,4,4,,,97019.18,
133,Oman,OMN,2012,2.6,22.1,2,3,,,21872.61,
134,Oman,OMN,2014,2.86,22.1,2,4,,,20035.22,
135,Pakistan,PAK,2012,0.97,61.6,2,3,,,1198.12,
136,Pakistan,PAK,2014,1.1,60.7,4,4,,,1251.18,
137,Panama,PAN,2012,6.57,56.5,5,5,,,10722.25,
138,Panama,PAN,2014,6.44,56.5,5,5,,,12796.06,
139,Peru,PER,2012,2.96,44.9,2,3,,,6528.97,
140,Peru,PER,2014,3.7,39.5,2,3,,,6672.88,
141,Philippines,PHL,2012,1.23,34.2,4,4,,,2694.31,
142,Philippines,PHL,2014,1.86,53,4,4,,,2959.65,
143,Poland,POL,2012,5.85,79.7,4,4,25027,4.300000191,13097.27,323.134198
144,Poland,POL,2014,6.45,82.6,4,4,20964,,14271.31,352.0955236
145,Portugal,PRT,2012,6.07,76.3,4,4,11522.878,3.099999905,20564.89,94.71234517
146,Portugal,PRT,2014,5.93,79.6,4,4,11459.113,,22074.3,115.4315165
147,Romania,ROU,2012,5.79,75.3,4,5,,4.099999905,8507.1,
148,Romania,ROU,2014,6.16,77.3,4,4,,,10043.68,
149,Russia,RUS,2012,1.52,45,2,3,,,,
150,Russia,RUS,2014,2.18,50.5,5,4,,,,
151,Rwanda,RWA,2014,2.01,24.1,2,2,,,743.56,
152,Saint Kitts and Nevis,KNA,2012,3.52,19.9,2,3,,,,
153,Samoa,WSM,2012,5.96,59.5,4,3,,,4022.18,
154,Saudi Arabia,SAU,2012,2.63,22.9,2,4,,,25243.6,
155,Senegal,SEN,2012,1.61,29,2,3,,,1317.78,
156,Senegal,SEN,2014,1.91,37.9,4,3,,,1396.66,
157,Serbia,SRB,2012,3.25,75.4,4,4,,,6015.95,
158,Serbia,SRB,2014,4.48,73.8,4,4,,,6600.06,
159,Sierra Leone,SLE,2014,1.58,19.7,2,2,,,714.7,
160,Singapore,SGP,2012,10.58,70.4,4,5,,,55546.49,
161,Singapore,SGP,2014,11.04,73.8,4,5,,,57562.53,
162,Slovakia,SVK,2012,4.66,83.1,4,4,,4.199999809,,
163,Slovakia,SVK,2014,4.95,84.6,4,4,,3.900000095,,
164,Slovenia,SVN,2012,4.93,78.4,4,4,0,5.800000191,22643.1,0
165,Slovenia,SVN,2014,5.84,79.4,4,4,0,4.599999905,24214.92,0
166,South Africa,ZAF,2012,5.16,47.6,4,3,,,7501.66,
167,South Africa,ZAF,2014,5.48,48.1,4,4,,,6433.4,
168,South Korea,KOR,2012,3.22,65.3,2,5,,,,
169,South Korea,KOR,2014,3.24,60.3,2,5,,,,
170,Spain,ESP,2012,5.65,79.2,5,4,,,28324.43,
171,Spain,ESP,2014,6.39,78.8,5,4,,,29461.55,
172,Sri Lanka,LKA,2012,7.63,74.2,4,3,,,3350.52,
173,Sri Lanka,LKA,2014,8.42,73.5,4,3,,,3819.25,
174,Sweden,SWE,2012,5.6,73.8,4,4,8014.2,,58037.82,596.7000079
175,Sweden,SWE,2014,6.5,68.8,4,4,8611,,60020.36,752.027647
176,Switzerland,CHE,2012,4.59,63.6,2,4,,,86547.67,
177,Switzerland,CHE,2014,5.08,61.9,2,4,,,89684.71,
178,Thailand,THA,2012,2.94,68.7,4,4,,,5860.58,
179,Thailand,THA,2014,3.41,70.2,4,4,,,5951.88,
180,Tonga,TON,2012,7.63,64.3,4,4,,,4581.78,
181,Tunisia,TUN,2012,2.82,84.5,4,4,,,4152.68,
182,Tunisia,TUN,2014,3.26,78.1,4,4,,,4305.48,
183,Turkey,TUR,2012,4.92,80.3,5,5,,,11795.63,
184,Turkey,TUR,2014,5.63,82.2,5,5,128157.751,,12157.99,1011.192284
185,Uganda,UGA,2012,1.79,44.2,2,4,,,786.74,
186,Uganda,UGA,2014,2.03,40.2,2,4,,,879.73,
187,Ukraine,UKR,2012,1.76,59.7,4,3,2677,,3855.42,
188,Ukraine,UKR,2014,2.22,62.4,4,3,10146,,3104.64,
189,United Arab Emirates,ARE,2012,1.55,24.5,4,5,,,40976.49,
190,United Arab Emirates,ARE,2014,1.82,21.1,5,5,,,43751.81,
191,United Kingdom,GBR,2012,10.78,76.1,4,5,,3.400000095,42449.11,
192,United Kingdom,GBR,2014,11.2,81.3,4,5,,3,47452.2,
193,United States,USA,2012,6.07,42.9,2,5,,3.5,51602.93,
194,United States,USA,2014,6.07,42.9,2,5,,3.200000048,55049.99,
195,Uruguay,URY,2012,3.98,69,4,5,,,15171.58,
196,Uruguay,URY,2014,3.71,65.6,5,5,,,16831.95,
197,Uzbekistan,UZB,2012,1.64,32.7,4,3,,,2137.03,
198,Uzbekistan,UZB,2014,2.31,31.1,4,4,,,2492.34,
199,Venezuela,VEN,2012,5.95,71,2,4,,,,
200,Vietnam,VNM,2012,2.49,41.6,4,3,,,1735.15,
201,Vietnam,VNM,2014,2.07,41.6,4,3,,,2030.28,
202,Yemen,YEM,2012,1.71,52.9,4,3,,,,
203,Yemen,YEM,2014,1.94,53.7,5,3,,,,
204,Zambia,ZMB,2012,1.68,25.8,2,3,,,1763.07,
205,Zambia,ZMB,2014,1.81,21.3,2,3,,,1762.43,
206,Zimbabwe,ZWE,2012,0.67,57.6,2,3,,,1304.97,
207,Zimbabwe,ZWE,2014,1.07,59.8,2,3,,,1434.9,
208,Liberia,LBR,2014,,17.2,2,3,,,721.18,
209,Afghanistan,AFG,2007,,,4,3,,,359.69,
210,Afghanistan,AFG,2010,,,4,3,,,543.3,
211,Afghanistan,AFG,2012,,,4,3,,,641.87,
212,Afghanistan,AFG,2014,,,4,3,,,613.86,
213,Albania,ALB,2007,,,5,2,,,3595.04,
214,Albania,ALB,2010,,,5,3,,,4094.35,
215,Albania,ALB,2012,,,5,4,,,4247.63,
216,Albania,ALB,2014,,,5,4,,,4578.63,
217,Algeria,DZA,2007,,,4,3,7734,,3950.51,
218,Algeria,DZA,2010,,,4,3,8273,,4480.79,
219,Andorra,AND,2007,,,2,4,,,47804.85,
220,Andorra,AND,2010,,,2,4,,,40850.25,
221,Andorra,AND,2012,,,2,4,,,38686.46,
222,Andorra,AND,2014,,,2,4,,,41303.93,
223,Angola,AGO,2007,,,2,3,,,3122,
224,Angola,AGO,2010,,,2,3,,,3587.88,
225,Angola,AGO,2012,,,2,3,,,5100.1,
226,Angola,AGO,2014,,,2,3,,,5408.41,
227,Antigua and Barbuda,ATG,2007,,,2,3,,,15622.69,
228,Antigua and Barbuda,ATG,2010,,,2,3,,,13048.96,
229,Antigua and Barbuda,ATG,2012,,,2,3,,,13272.73,
230,Antigua and Barbuda,ATG,2014,,,2,3,,,13501.58,
231,Argentina,ARG,2007,,,2,4,,,7245.45,
232,Argentina,ARG,2010,,,2,4,,,10385.96,
233,Armenia,ARM,2007,,,2,3,,,3139.28,
234,Armenia,ARM,2010,,,2,3,,,3218.38,
235,Australia,AUS,2007,,,4,5,,4.099999905,40960.05,
236,Australia,AUS,2010,,,4,5,,4,52022.13,
237,Austria,AUT,2007,,,4,4,,,46855.77,
238,Austria,AUT,2010,,,4,4,,,46858.04,
239,Azerbaijan,AZE,2007,,,4,2,1038.8,,3851.44,1.048799709
240,Azerbaijan,AZE,2010,,,4,3,2027,,5843.53,6.104809614
241,Bahamas,BHS,2007,,,2,3,,,,
242,Bahamas,BHS,2010,,,2,3,,,,
243,Bahamas,BHS,2012,,,2,4,,,,
244,Bahrain,BHR,2007,,,2,5,,,20976.44,
245,Bahrain,BHR,2010,,,4,5,,,20722.07,
246,Bahrain,BHR,2012,,,5,4,,,23654.37,
247,Bahrain,BHR,2014,,,5,4,,,24989.44,
248,Bangladesh,BGD,2007,,,4,3,,,558.05,
249,Bangladesh,BGD,2010,,,4,3,,,781.15,
250,Barbados,BRB,2007,,,2,3,,,16770.66,
251,Barbados,BRB,2010,,,2,3,,,16056.37,
252,Barbados,BRB,2012,,,2,4,,,16249.67,
253,Barbados,BRB,2014,,,2,4,,,16489.07,
254,Belarus,BLR,2007,,,4,4,,,4735.66,
255,Belarus,BLR,2010,,,4,4,,,6029.4,
256,Belgium,BEL,2007,,,4,5,,6,44262.9,
257,Belgium,BEL,2010,,,4,4,,6.300000191,44141.88,
258,Belize,BLZ,2007,,,2,3,,,4252.4,
259,Belize,BLZ,2010,,,2,3,,,4270.78,
260,Belize,BLZ,2012,,,2,3,,,4505.6,
261,Benin,BEN,2007,,,4,3,,,966.2,
262,Benin,BEN,2010,,,4,3,,,1036.53,
263,Benin,BEN,2012,,,4,3,,,1145.14,
264,Benin,BEN,2014,,,4,4,,,1291.41,
265,Bhutan,BTN,2007,,,2,2,,,1757.19,
266,Bhutan,BTN,2010,,,4,2,,,2258.19,
267,Bhutan,BTN,2012,,,4,2,,,2538.95,
268,Bhutan,BTN,2014,,,4,4,,,2652.23,
269,Bolivia,BOL,2007,,,4,3,,,1372.63,
270,Bolivia,BOL,2010,,,4,3,,,1955.46,
271,Bosnia and Herzegovina,BIH,2007,,,4,3,,,4193.37,
272,Bosnia and Herzegovina,BIH,2010,,,4,3,,,4635.51,
273,Botswana,BWA,2007,,,4,3,,,5832.74,
274,Botswana,BWA,2010,,,4,3,,,6434.81,
275,Botswana,BWA,2012,,,4,3,,,7050.57,
276,Botswana,BWA,2014,,,4,3,,,7780.63,
277,Brazil,BRA,2007,,,4,5,72033,,7348.03,51.45720356
278,Brazil,BRA,2010,,,4,5,81640,,11286.24,55.70204307
279,Brunei,BRN,2007,,,4,4,,,,
280,Brunei,BRN,2010,,,4,4,,,,
281,Brunei,BRN,2012,,,4,4,,,,
282,Brunei,BRN,2014,,,4,5,,,,
283,Bulgaria,BGR,2007,,,4,4,42987,8.100000381,5885.1,120.3596795
284,Bulgaria,BGR,2010,,,4,4,38640,6.599999905,6812.41,167.8634079
285,Burkina Faso,BFA,2007,,,4,3,,,535.06,
286,Burkina Faso,BFA,2010,,,4,3,,,647.84,
287,Burkina Faso,BFA,2012,,,4,3,,,758,
288,Burkina Faso,BFA,2014,,,4,4,,,792.85,
289,Burundi,BDI,2007,,,2,2,,,172.5,
290,Burundi,BDI,2010,,,2,2,,,234.24,
291,Burundi,BDI,2012,,,2,2,,,252.36,
292,Cambodia,KHM,2007,,,2,3,,,631.53,
293,Cambodia,KHM,2010,,,2,3,,,785.5,
294,Cameroon,CMR,2007,,,4,3,,,1195.65,
295,Cameroon,CMR,2010,,,4,3,,,1286.52,
296,Canada,CAN,2007,,,2,3,,3.200000048,44659.9,
297,Canada,CAN,2010,,,4,5,,3.5,47562.08,
298,Cape Verde,CPV,2007,,,2,4,,,,
299,Cape Verde,CPV,2010,,,2,4,,,,
300,Cape Verde,CPV,2012,,,2,4,,,,
301,Cape Verde,CPV,2014,,,2,4,,,,
302,Central African Republic,CAF,2007,,,2,3,,,404.37,
303,Central African Republic,CAF,2010,,,2,3,,,488.42,
304,Central African Republic,CAF,2012,,,2,3,,,565.8,
305,Central African Republic,CAF,2014,,,2,3,,,424.45,
306,Chad,TCD,2007,,,3,2,,,799.6,
307,Chad,TCD,2010,,,5,2,,,892.57,
308,Chad,TCD,2012,,,5,3,,,967.35,
309,Chad,TCD,2014,,,5,3,,,1020.29,
310,Chile,CHL,2007,,,4,3,,,10502.35,
311,Chile,CHL,2010,,,4,3,,,12808.04,
312,China,CHN,2007,,,4,3,,,2693.97,
313,China,CHN,2010,,,4,3,,,4550.45,
314,Colombia,COL,2007,,,2,3,,,4714.07,
315,Colombia,COL,2010,,,5,3,,,6336.71,
316,Comoros,COM,2007,,,2,2,,,1240.09,
317,Comoros,COM,2010,,,4,2,,,1316.49,
318,Comoros,COM,2012,,,2,2,,,1403.36,
319,Congo,COG,2007,,,4,3,,,,
320,Congo,COG,2010,,,4,4,,,,
321,Congo,COG,2012,,,4,4,,,,
322,Congo,COG,2014,,,4,4,,,,
323,Cook Islands,COK,2007,,,4,4,,,,
324,Cook Islands,COK,2010,,,4,4,,,,
325,Cook Islands,COK,2012,,,4,4,,,,
326,Cook Islands,COK,2014,,,4,4,,,,
327,Costa Rica,CRI,2007,,,2,4,,,6103.74,
328,Costa Rica,CRI,2010,,,2,4,,,8227.13,
329,Costa Rica,CRI,2012,,,4,4,,,10075,
330,Cote d'Ivoire,CIV,2007,,,2,3,,,1062.56,
331,Cote d'Ivoire,CIV,2010,,,2,3,,,1213.11,
332,Cote d'Ivoire,CIV,2012,,,2,3,,,1243.27,
333,Cote d'Ivoire,CIV,2014,,,2,4,,,1561.46,
334,Croatia,HRV,2007,,,4,3,12296,6.5,13937.45,
335,Croatia,HRV,2010,,,4,4,12529,4.900000095,13949.33,
336,Cuba,CUB,2007,,,2,4,0,,5208.72,
337,Cuba,CUB,2010,,,2,4,0,,5730.35,
338,Cuba,CUB,2012,,,2,4,0,,6497.31,
339,Cuba,CUB,2014,,,2,4,0,,7133.34,
340,Cyprus,CYP,2007,,,4,4,0,,31244.93,0
341,Cyprus,CYP,2010,,,4,4,,,31023.64,
342,Czechia,CZE,2007,,,4,3,,6.699999809,,
343,Czechia,CZE,2010,,,4,4,,5.5,,
344,Democratic Republic of Congo,COD,2007,,,3,3,,,,
345,Democratic Republic of Congo,COD,2010,,,3,3,,,,
346,Democratic Republic of Congo,COD,2012,,,3,3,,,,
347,Democratic Republic of Congo,COD,2014,,,3,3,,,,
348,Denmark,DNK,2007,,,4,4,3362.691,5.599999905,58487.05,116.7314332
349,Denmark,DNK,2010,,,4,4,4200,5.400000095,58041.4,130.2845357
350,Djibouti,DJI,2007,,,5,3,,,1052.72,
351,Djibouti,DJI,2010,,,5,3,,,1343.28,
352,Djibouti,DJI,2012,,,5,3,,,1559.24,
353,Djibouti,DJI,2014,,,5,3,,,2464.3,
354,Dominica,DMA,2007,,,2,3,,,5951.86,
355,Dominica,DMA,2010,,,2,3,,,6967.36,
356,Dominica,DMA,2012,,,2,3,,,6849.46,
357,Dominica,DMA,2014,,,2,3,,,7317.49,
358,Dominican Republic,DOM,2007,,,2,3,,,4707.8,
359,Dominican Republic,DOM,2010,,,2,3,,,5555.39,
360,Ecuador,ECU,2007,,,2,3,2322.04,,3567.84,8.381166
361,Ecuador,ECU,2010,,,2,4,2204.64,,4633.59,9.10681
362,Egypt,EGY,2007,,,4,4,,,,
363,Egypt,EGY,2010,,,4,4,,,,
364,El Salvador,SLV,2007,,,2,4,,,2786.16,
365,El Salvador,SLV,2010,,,2,4,,,2983.23,
366,El Salvador,SLV,2012,,,4,5,,,3428.41,
367,El Salvador,SLV,2014,,,4,5,,,3589.04,
368,Equatorial Guinea,GNQ,2007,,,2,2,,,15908.41,
369,Equatorial Guinea,GNQ,2010,,,2,2,,,17288.84,
370,Equatorial Guinea,GNQ,2012,,,2,2,,,21711.15,
371,Equatorial Guinea,GNQ,2014,,,2,2,,,19394.08,
372,Eritrea,ERI,2007,,,5,2,,,439.83,
373,Eritrea,ERI,2010,,,5,2,,,501.36,
374,Eritrea,ERI,2012,,,5,2,,,,
375,Eritrea,ERI,2014,,,5,2,,,,
376,Estonia,EST,2007,,,4,3,,5.300000191,16744.58,
377,Estonia,EST,2010,,,4,3,,4.800000191,14663.04,
378,Eswatini,SWZ,2007,,,2,4,,,3327.45,
379,Eswatini,SWZ,2010,,,2,4,,,4168.49,
380,Eswatini,SWZ,2012,,,2,4,,,4527.68,
381,Eswatini,SWZ,2014,,,4,4,,,4038.55,
382,Ethiopia,ETH,2007,,,2,2,,,244.29,
383,Ethiopia,ETH,2010,,,2,3,,,341.55,
384,Ethiopia,ETH,2012,,,4,4,,,467.08,
385,Fiji,FJI,2007,,,4,2,,,4040.15,
386,Fiji,FJI,2010,,,4,2,,,3652.54,
387,Finland,FIN,2007,,,4,4,0,3.900000095,48414.85,0
388,Finland,FIN,2010,,,4,4,,,46459.97,0
389,France,FRA,2007,,,4,4,,3.5,41508.43,
390,France,FRA,2010,,,4,4,,3.5,40638.34,
391,Gabon,GAB,2007,,,2,3,,,8458.31,
392,Gabon,GAB,2010,,,2,3,,,8849.32,
393,Gabon,GAB,2012,,,2,3,,,9813.51,
394,Gabon,GAB,2014,,,4,3,,,9663.42,
395,Gambia,GMB,2007,,,4,2,,,,
396,Gambia,GMB,2010,,,4,2,,,,
397,Gambia,GMB,2012,,,4,2,,,,
398,Georgia,GEO,2007,,,2,3,,,2635.35,
399,Georgia,GEO,2010,,,2,3,,,3233.3,
400,Germany,DEU,2007,,,3,4,31719.1,4.400000095,41587.21,
401,Germany,DEU,2010,,,4,4,,4.199999809,41531.93,
402,Ghana,GHA,2007,,,2,3,,,1081.17,
403,Ghana,GHA,2010,,,2,3,,,1299.35,
404,Greece,GRC,2007,,,4,3,,10.60000038,28827.33,
405,Greece,GRC,2010,,,4,3,,7.599999905,26690.61,
406,Grenada,GRD,2007,,,2,3,,,7212.99,
407,Grenada,GRD,2010,,,2,3,,,7258.17,
408,Grenada,GRD,2012,,,2,3,,,7444.09,
409,Grenada,GRD,2014,,,2,3,,,8370.04,
410,Guatemala,GTM,2007,,,2,4,,,2490.75,
411,Guatemala,GTM,2010,,,2,4,,,2852.55,
412,Guinea,GIN,2007,,,4,3,,,659.99,
413,Guinea,GIN,2010,,,4,3,,,672.42,
414,Guinea,GIN,2012,,,5,3,,,717.05,
415,Guinea,GIN,2014,,,5,3,,,787.24,
416,Guinea-Bissau,GNB,2007,,,2,2,,,493.72,
417,Guinea-Bissau,GNB,2010,,,2,2,,,558.17,
418,Guinea-Bissau,GNB,2012,,,2,3,,,616.38,
419,Guinea-Bissau,GNB,2014,,,2,3,,,623.31,
420,Guyana,GUY,2007,,,2,3,,,3658.48,
421,Guyana,GUY,2010,,,2,4,,,4580.7,
422,Guyana,GUY,2012,,,2,4,,,5378.81,
423,Guyana,GUY,2014,,,2,4,,,5407.15,
424,Haiti,HTI,2007,,,2,3,,,981.11,
425,Haiti,HTI,2010,,,2,3,,,1172.1,
426,Haiti,HTI,2012,,,2,3,,,1337.34,
427,Haiti,HTI,2014,,,2,3,,,1402.1,
428,Honduras,HND,2007,,,2,3,,,1583.05,
