,Entity,Code,Year,AvgCigarettePriceDollars,AvgTaxesAsPctCigarettePrice,EnforceBansTobaccoAd,HelpToQuit,ProductionMT,SalePerDay,GDP_USD,ProductionUSD,EconValue,InverseBan,Percentage of Death,NewQuit,Variability,HarmValue
13,Bangladesh,BGD,2012,1.38,63.8,4,3,8288.31989,8.360000181,883.1171296,121.0289358,0.06975374,0.25,0.000517716,1,0.6105955084569055,0.3470375451256992
14,Bangladesh,BGD,2014,1.54,75.6,4,3,15078.2217,8.260000181,1118.873808,117.106282,0.06538311,0.25,0.00054069,1,0.6105955084569055,0.39622372497642244
15,Belarus,BLR,2012,1.79,41.2,4,4,23525.9891,8.910000276,6940.159254,131.382812,0.005918912,0.25,0.002451513,2,0.5979200227825284,5.395110582094849
16,Belarus,BLR,2014,1.77,52.7,4,4,21541.06,8.360000181,8318.51269,137.9853085,0.006315284,0.25,0.002339083,2,0.5979200227825284,5.016486134234084
17,Belgium,BEL,2012,5.29,76.4,4,4,25832.5627,4.760000086,44673.11588,315.2234349,0.00170874,0.25,0.002017164,2,1.2109656399396416,3.9630330719497993
18,Belgium,BEL,2014,6.08,76.4,4,5,31793.5,3.389999986,47700.54036,290.1386429,0.001600378,0.25,0.001879203,3,1.2109656399396416,3.026363249567744
19,Belize,BLZ,2014,6.75,42.5,2,3,27571.0132,3.710000014,4718.436581,384.2504544,0.008966898,0.5,0.000302892,1,1.4117151178528533,-0.07805315731008367
20,Bolivia,BOL,2012,2.89,40.4,4,4,23321.9291,7.019999981,2609.880562,133.9961273,0.015361048,0.25,0.000354469,2,1.6369352084317663,-0.48235105185033833
21,Bolivia,BOL,2014,2.82,40.4,4,4,23321.9291,7.019999981,3081.878824,133.9961273,0.013023709,0.25,0.000351591,2,1.6369352084317663,-0.487808140023278
22,Bosnia and Herzegovina,BIH,2012,3.19,75.2,4,4,6752.015092,6.39000001,4778.636088,127.342503,0.01561417,0.25,0.002077776,2,1.1242708672919166,4.157769633923501
23,Bosnia and Herzegovina,BIH,2014,3.86,86.0,4,4,2030.172,6.320000029,5329.631984,14.46984524,0.016007394,0.25,0.002237908,2,1.1242708672919166,4.6803944603537175
24,Brazil,BRA,2012,2.33,62.6,5,5,44725.0,7.660000086,12370.02445,70.444313,0.005047859,0.2,0.000802773,3,2.2415486735185857,-0.001853851137664897
25,Brazil,BRA,2014,2.85,64.3,5,5,35955.0,6.669999886,12112.58767,90.39365926,0.005294487,0.2,0.000779012,3,2.2415486735185857,-0.0592421658702067
26,Bulgaria,BGR,2012,5.76,86.4,4,4,39908.0,5.800000191,7395.849803,181.9913904,0.011614517,0.25,0.002858186,2,1.65100444827137,6.807306543722317
27,Bulgaria,BGR,2014,6.25,84.0,4,4,22715.0,5.900000095,7876.866465,103.786547,0.010607678,0.25,0.002920823,2,1.65100444827137,7.03045974728524
28,Burundi,BDI,2014,2.26,41.2,2,2,147685.4502,8.80000019,274.8578422,1280.663453,0.139671215,0.5,0.000252831,0,0.624048474999558,0.33362840322574006
29,Cambodia,KHM,2012,0.86,17.1,4,3,47670.3891,9.710000323,950.880346,113.652752,0.017823548,0.25,0.000765219,1,1.4369270072649387,0.9076836488572932
30,Cambodia,KHM,2014,0.92,22.2,4,3,47670.3891,9.710000323,1093.495976,113.652752,0.020098523,0.25,0.000772651,1,1.4369270072649387,0.9254827956547609
31,Cameroon,CMR,2012,7.54,21.5,4,3,147205.8002,3.330000019,1354.54555,1341.460749,0.015747832,0.25,0.000219237,1,3.043750900471194,-0.22281380068067103
32,Cameroon,CMR,2014,2.43,17.9,4,4,10272.49672,8.000000095,1542.620606,114.4264393,0.011536825,0.25,0.000205762,2,3.043750900471194,-0.744754366007555
33,Canada,CAN,2012,6.8,64.5,4,5,30605.2154,3.299999976,52669.08996,472.5675438,0.001223878,0.25,0.001364874,3,1.7470353080139327,1.4867847610585483
34,Canada,CAN,2014,6.88,64.5,4,5,30605.2154,3.299999976,50955.99832,395.3033242,0.001264998,0.25,0.001366508,3,1.7470353080139327,1.4914340306634921
35,Chile,CHL,2012,3.69,82.0,4,3,10162.6356,6.35,15351.54074,98.8945104,0.005327268,0.25,0.000575341,1,0.9404468491686436,0.4715977911684611
36,Chile,CHL,2014,5.21,81.6,4,3,14481.3373,4.770000076,14670.98891,98.62085011,0.005546586,0.25,0.000569008,1,0.9404468491686436,0.4577176295752008
37,China,CHN,2012,2.16,47.7,4,3,12762.5291,7.920000124,6316.918318,99.38207917,0.007522783,0.25,0.001385912,1,1.5895311942536587,2.5467719560394215
38,China,CHN,2014,2.13,47.8,4,4,14912.4291,8.270000219,7678.599486,98.63956427,0.006205798,0.25,0.001435102,2,1.5895311942536587,2.1880945904000004
39,Colombia,COL,2012,1.67,50.9,5,3,18519.8291,8.520000219,8050.255372,98.63956427,0.006302876,0.2,0.000378933,1,1.66749996503684,0.06456604476580552
40,Colombia,COL,2014,1.81,49.5,5,3,18519.8291,8.520000219,8114.343921,98.63956427,0.006081777,0.2,0.000370398,1,1.66749996503684,0.04809118924292477
41,Comoros,COM,2014,1.96,50.8,2,2,156854.8002,9.060000276,1513.83039,1177.274942,0.033006503,0.5,0.000252869,0,1.4230641803726845,0.3336935914924916
42,Costa Rica,CRI,2014,3.63,71.8,4,4,7000.120996,6.370000029,10847.16967,111.8540053,0.006597427,0.25,0.000417478,2,1.5594387040766762,-0.35966495610034477
43,Croatia,HRV,2012,4.81,70.4,4,4,9452.0,5.0,13258.35985,99.8888401,0.00529581,0.25,0.002289627,2,0.8765873406701555,4.851642114838731
44,Croatia,HRV,2014,5.65,74.8,4,4,7137.0,4.630000019,13599.40978,109.4385064,0.005485168,0.25,0.002237404,2,0.8765873406701555,4.678731447970801
45,Cyprus,CYP,2012,4.9,75.8,4,4,9531.5804,5.040000153,28912.15694,107.4716589,0.002618304,0.25,0.001142779,2,0.27066092463770874,1.3710162157285941
46,Cyprus,CYP,2014,5.52,77.3,4,4,12149.6113,4.610000134,27163.33297,97.88034638,0.002841707,0.25,0.001149076,2,0.27066092463770874,1.3880146011097585
47,Czechia,CZE,2012,4.91,80.0,4,4,8138.413,5.300000191,19870.80121,106.729144,0.004017925,0.25,0.002008602,2,1.049270806470967,3.9356647818636175
48,Czechia,CZE,2014,5.69,75.6,4,4,13145.6599,4.400000095,19890.91991,97.61055781,0.003793525,0.25,0.001940656,2,1.049270806470967,3.7197253280867466
49,Denmark,DNK,2012,4.66,78.7,4,5,5473.0,5.1,58507.50805,139.5860841,0.001344223,0.25,0.002264232,3,0.9861155042594377,4.267409638291494
50,Denmark,DNK,2014,4.73,78.8,4,5,5433.0,4.9,62548.98473,173.6361315,0.00125902,0.25,0.002125709,3,0.9861155042594377,3.812984543632222
51,Dominican Republic,DOM,2012,5.53,58.3,2,3,2567.810346,4.25,6110.366576,9.522946423,0.009495933,0.5,0.000650544,1,0.8254397899920745,0.6398383800026837
52,Dominican Republic,DOM,2014,6.25,57.7,2,3,28164.4759,3.35999999,6608.825501,335.359449,0.008692857,0.5,0.000717492,1,0.8254397899920745,0.7946303375514374
53,Ecuador,ECU,2012,5.67,64.2,4,4,3745.788924,4.379999971,5682.046108,12.97843,0.011235393,0.25,0.000311006,2,2.06158568843766,-0.5633001973134213
54,Ecuador,ECU,2014,5.91,62.7,4,4,3075.198896,4.399999952,6377.093929,15.516749,0.009784044,0.25,0.000290023,2,2.06158568843766,-0.6012086124583695
55,Egypt,EGY,2012,2.29,71.5,4,4,18752.6,7.680000114,3229.68563,103.7192824,0.021896881,0.25,0.000719405,2,0.3912373905247515,0.2991194510506343
56,Egypt,EGY,2014,2.69,72.0,4,4,61060.0,7.400000048,3379.557986,143.2123564,0.021080792,0.25,0.000696876,2,0.3912373905247515,0.24648127301773992
57,Estonia,EST,2012,4.8,79.2,4,4,12450.0226,4.699999809,17404.2008,99.34550541,0.004540303,0.25,0.001718263,2,1.1489668536367983,3.029026535276344
58,Estonia,EST,2014,4.8,81.7,4,4,9571.5469,4.5,20234.11742,99.04283216,0.004029605,0.25,0.001695134,2,1.1489668536367983,2.958665835460441
59,Ethiopia,ETH,2014,1.97,18.7,4,4,23540.2891,9.160000276,566.9264029,138.5996685,0.032452554,0.25,9.78e-05,2,2.9126945708574783,-0.9029436155281015
60,Fiji,FJI,2012,4.23,40.6,4,4,2672.711564,5.550000047,4591.577015,20.4176074,0.008803414,0.25,0.000962537,2,2.168166516071477,0.8968206126583964
61,Fiji,FJI,2014,4.57,44.0,4,4,4149.398672,4.390000009,5605.609148,41.89365348,0.007818635,0.25,0.000974218,2,2.168166516071477,0.9267997980730445
62,Finland,FIN,2012,5.03,79.8,4,4,1119.876092,4.000000024,47710.79022,0.0,0.00167118,0.25,0.000979896,2,0.3364525450296611,0.9414114117139447
63,Finland,FIN,2014,5.42,81.7,4,4,1136.058892,4.420000052,50260.29986,0.0,0.001624218,0.25,0.000967448,2,0.3364525450296611,0.9094114312656529
64,France,FRA,2012,6.69,80.0,4,4,32437.8721,3.169999981,40874.70039,362.1489853,0.001955288,0.25,0.00129045,2,0.4537894396211064,1.776816199883768
65,France,FRA,2014,7.61,80.6,4,4,32153.0608,3.039999986,43011.2631,355.5860089,0.001872174,0.25,0.001235045,2,0.4537894396211064,1.6228364719543795
66,Gambia,GMB,2014,4.42,34.4,4,2,149259.2753,4.670000029,607.4299047,1293.86638,0.055086537,0.25,0.000338091,0,0.6427793529854098,0.4867739075347659
67,Georgia,GEO,2012,1.57,54.9,2,3,29361.2,8.360000181,4421.818242,145.34706,0.012339264,0.5,0.001738789,1,1.0815744774275544,3.5917071884917986
68,Georgia,GEO,2014,2.41,47.5,2,4,6480.31989,7.360000038,4739.188338,56.25557129,0.009972918,0.5,0.001700089,2,1.0815744774275544,2.9737153353847536
69,Germany,DEU,2012,5.74,74.5,4,4,34582.5385,4.199999809,43858.36306,315.2234349,0.001697209,0.25,0.001623022,2,0.5938711000187922,2.741151766753572
70,Germany,DEU,2014,6.34,73.5,4,4,45842.627,4.099999905,47959.99327,692.2874024,0.001531354,0.25,0.001626265,2,0.5938711000187922,2.750872551062521
71,Ghana,GHA,2012,2.35,23.1,5,4,26385.9291,8.160000133,1587.560932,137.5092323,0.014445778,0.2,0.000211139,2,2.333673394433249,-0.7360494348613831
72,Ghana,GHA,2014,2.41,28.3,5,4,26385.9291,8.020000076,1899.668336,137.5092323,0.014787462,0.2,0.000203145,2,2.333673394433249,-0.7489665604908252
73,Greece,GRC,2012,4.71,83.2,4,4,17603.8712,7.0,21915.19132,101.2107703,0.003789265,0.25,0.002225952,2,2.8842798104451512,4.64097443326952
74,Greece,GRC,2014,5.75,81.6,4,4,14763.904,4.250000072,21601.7764,108.0063675,0.00377035,0.25,0.002195092,2,2.8842798104451512,4.53952010408508
75,Guatemala,GTM,2012,2.92,49.0,2,4,6477.51989,6.490000009,3355.036919,55.633277,0.014499282,0.5,0.000218229,2,0.5195505319029513,-0.7244694246083473
76,Guatemala,GTM,2014,3.22,49.0,2,4,3723.742672,6.510000038,3779.642336,26.98766644,0.012880874,0.5,0.000217252,2,0.5195505319029513,-0.7260719436626133
77,Honduras,HND,2012,3.18,36.2,4,4,10249.94072,6.920000076,2144.342363,111.2356964,0.016740722,0.25,0.000412849,2,1.8434494135758255,-0.36887961806209335
78,Honduras,HND,2014,3.38,38.1,4,4,10249.94072,6.880000067,2206.054397,111.2356964,0.01712321,0.25,0.000417774,2,1.8434494135758255,-0.359074680382789
79,Hungary,HUN,2012,4.82,84.1,4,4,3092.0,3.299999952,12950.68652,104.378341,0.00647287,0.25,0.002741079,2,1.4387295883334148,6.394036939929444
80,Hungary,HUN,2014,6.74,77.4,4,4,2185.0,2.979999995,14267.01215,70.012396,0.005410439,0.25,0.002596931,2,1.4387295883334148,5.892585017011705
81,Iceland,ISL,2012,7.42,56.9,4,3,28835.3508,2.700000048,45995.54788,384.6276084,0.001236312,0.25,0.000968548,1,0.9473748272118451,1.4122342433525183
82,Iceland,ISL,2014,8.89,56.4,4,3,8482.83,2.299999952,54576.74481,435.7061933,0.001032874,0.25,0.000959741,1,0.9473748272118451,1.3896608282545062
83,India,IND,2012,5.33,33.2,4,4,146051.4504,4.330000067,1443.882435,1545.542413,0.022733193,0.25,0.000667758,2,2.259848472061925,0.17920259829462992
84,India,IND,2014,4.63,66.1,4,4,146051.4504,4.740000009,1573.885642,1200.914044,0.041139994,0.25,0.000651292,2,2.259848472061925,0.14154244606540023
85,Indonesia,IDN,2012,2.2,35.5,2,3,10164.30667,8.260000133,3694.35934,103.8408622,0.009563369,0.5,0.000849017,1,0.9482488993688175,1.1112944082751317
86,Indonesia,IDN,2014,2.68,50.8,2,3,2268.006672,6.530000019,3491.637491,15.74919946,0.014444226,0.5,0.000861371,1,0.9482488993688175,1.141840323889458
87,Iran,IRN,2012,2.26,2.7,5,5,62687.39,9.110000228,7927.844908,70.20675508,0.000340514,0.2,0.000431772,3,1.869148613337379,-0.8310180259331404
88,Iran,IRN,2014,2.52,4.3,5,5,62687.39,7.810000085,5585.525604,65.94229493,0.000769551,0.2,0.000452705,3,1.869148613337379,-0.7885514864420654
89,Ireland,IRL,2012,10.59,78.8,4,5,37030.5254,3.019999981,49028.82739,438.4177418,0.001605928,0.25,0.001300627,3,1.4162190097737641,1.3053186101591416
90,Ireland,IRL,2014,11.16,77.8,4,5,13827.93,2.8,55525.89725,401.0603464,0.001400167,0.25,0.001235385,3,1.4162190097737641,1.1237751758797043
91,Israel,ISR,2014,7.15,85.0,2,5,39871.4254,3.299999952,37738.41607,415.3867063,0.002249814,0.5,0.00070061,3,1.3498184396121216,-0.24482919479512177
92,Italy,ITA,2012,5.44,75.5,4,4,23605.8175,4.049999928,35053.52624,177.6895141,0.002151533,0.25,0.001474273,2,0.2532411616915,2.3016792721479917
93,Italy,ITA,2014,5.43,76.1,4,4,30597.5754,4.239999914,35518.41529,266.5193134,0.002140259,0.25,0.001423904,2,0.2532411616915,2.155793089576736
94,Jamaica,JAM,2012,12.19,46.1,2,4,28164.4759,3.310000014,5209.859264,353.3631284,0.008809688,0.5,0.00064513,2,2.886868281525003,0.12752195517181208
95,Jamaica,JAM,2014,13.0,42.9,2,4,28164.4759,3.310000014,4834.284009,353.3631284,0.008834973,0.5,0.000744397,2,2.886868281525003,0.35809326743336745
96,Japan,JPN,2012,4.04,63.2,2,4,7.0,4.900000095,49145.28043,2.506565363,0.001285157,0.5,0.001529345,2,0.48062515059075583,2.462906021954103
97,Japan,JPN,2014,4.34,62.9,2,4,3.0,4.5,38475.39525,1.887775859,0.001633476,0.5,0.001521182,2,0.48062515059075583,2.438896688628877
98,Kazakhstan,KAZ,2012,1.26,27.0,4,4,727.0,9.160000276,12386.69927,21.24641675,0.002177385,0.25,0.001224341,2,1.4475846913514205,1.5933235796642427
99,Kazakhstan,KAZ,2014,1.45,39.7,4,4,1.0,8.910000276,12807.26069,14.1542635,0.00309501,0.25,0.001109514,2,1.4475846913514205,1.2816878004697223
100,Kenya,KEN,2012,1.69,48.8,5,4,23364.8291,8.520000219,1136.869893,145.2021649,0.042029147,0.2,0.000222225,2,1.237830718646971,-0.7178926592550579
101,Kenya,KEN,2014,1.78,49.3,5,4,23364.8291,8.520000219,1315.802225,145.2021649,0.036782779,0.2,0.000212934,2,1.237830718646971,-0.7331285508008304
102,Latvia,LVA,2012,4.58,78.7,4,4,27817.974,2.900000095,13923.47398,238.6178121,0.005636411,0.25,0.002085944,2,1.4589474455001497,4.184143759941508
103,Latvia,LVA,2014,7.13,77.3,4,4,33764.3132,2.799999952,15713.53697,415.7471694,0.004907265,0.25,0.002091866,2,1.4589474455001497,4.203285037880604
104,Lebanon,LBN,2012,2.35,44.4,4,4,648.0198896,7.520000076,7952.151239,17.72091507,0.005567865,0.25,0.000726296,2,1.970596110843296,0.31531976386148863
105,Lebanon,LBN,2014,2.67,48.3,4,4,679.1998896,6.530000019,7687.930519,13.62377473,0.006262922,0.25,0.000693907,2,1.970596110843296,0.23958195932161042
106,Lithuania,LTU,2012,4.82,75.8,4,4,0.0,3.5,14367.70942,0.0,0.005261851,0.25,0.001940061,2,0.4620445672641582,3.717844242703932
107,Lithuania,LTU,2014,5.11,77.6,4,4,0.0,4.0,16551.0182,0.0,0.004677576,0.25,0.001903613,2,0.4620445672641582,3.6029457713416644
108,Luxembourg,LUX,2012,4.26,71.1,4,4,6702.72,5.470000076,106749.0136,139.4598543,0.000665827,0.25,0.001205044,2,1.9804672338421025,1.540313837374562
109,Luxembourg,LUX,2014,4.47,70.7,4,4,6702.72,5.200000048,118823.6484,145.1503241,0.000594822,0.25,0.001174031,2,1.9804672338421025,1.4556531895374487
110,Malaysia,MYS,2012,5.02,58.4,4,4,876.274,4.089999962,10817.43171,7.069608006,0.005384173,0.25,0.000688911,2,0.5850857563996374,0.2279923261561676
111,Malaysia,MYS,2014,6.1,59.8,4,4,21983.5405,2.849999976,11319.06194,184.72949,0.005269217,0.25,0.000731602,2,0.5850857563996374,0.3278253236746882
112,Mali,MLI,2014,1.85,38.1,4,3,23625.2891,8.910000276,848.279043,138.5996685,0.043935031,0.25,0.000128384,1,1.5868163686177008,-0.36175552891436646
113,Mexico,MEX,2012,4.56,66.5,2,4,1197.3646,4.520000029,10241.72783,10.3318949,0.006472056,0.5,0.00041534,2,0.8326481953220869,-0.36392476957568964
114,Mexico,MEX,2014,5.15,65.8,2,5,23101.49,4.199999952,10928.91601,130.6510288,0.006002673,0.5,0.0004172,3,0.8326481953220869,-0.8602192223516463
115,Moldova,MDA,2012,1.95,44.6,4,3,12912.7891,8.520000219,3045.739874,102.1765297,0.014537225,0.25,0.001673751,1,1.2025583683516117,3.39387227718067
116,Moldova,MDA,2014,2.06,51.6,4,4,1735.502044,8.270000219,3328.801449,27.011685,0.01538216,0.25,0.001714293,2,1.2025583683516117,3.0169290883016764
117,Mongolia,MNG,2012,0.0,0.0,4,4,16607.744,9.160000276,4351.888461,37.76158212,0.0,0.25,0.000854903,2,2.131783307759676,0.6258313412463841
118,Mongolia,MNG,2014,2.54,44.2,4,4,1648.254,6.710000038,4158.521471,50.07821336,0.010572689,0.25,0.000842692,2,2.131783307759676,0.5957069262131947
119,Morocco,MAR,2012,4.08,68.0,4,3,20101.38,5.270000076,2912.658275,188.65996,0.023078013,0.25,0.000518436,1,0.5503755940603754,0.34856925841859476
120,Morocco,MAR,2014,4.81,68.4,4,3,19793.68,4.39000001,3171.699192,164.6285362,0.021336477,0.25,0.000517988,1,0.5503755940603754,0.3476161173099638
121,Nepal,NPL,2012,1.78,32.9,4,3,23625.2891,8.910000276,804.1416073,138.5996685,0.040098397,0.25,0.000772486,1,2.1171324136671594,0.9250870720166551
122,Nepal,NPL,2014,1.73,46.6,5,3,18519.8291,8.520000219,844.8531248,112.0195918,0.05369006,0.2,0.000781073,1,2.1171324136671594,0.945715079262246
123,Netherlands,NLD,2012,6.17,73.1,4,4,107623.0,1.5,50073.00566,832.5906727,0.001458804,0.25,0.001767131,2,1.3951722560072575,3.1786208511954195
124,Netherlands,NLD,2014,7.22,74.8,4,5,45974.0,3.389999962,52830.17423,487.8147884,0.001414856,0.25,0.001713173,3,1.3951722560072575,2.513517725424954
125,New Zealand,NZL,2012,8.53,73.3,4,5,38552.2627,2.860000014,39973.38076,466.2874321,0.001832041,0.25,0.00097366,3,1.3446849260444325,0.4253652316064649
126,New Zealand,NZL,2014,10.61,75.0,4,5,37056.8,2.930000019,44572.89875,446.9406708,0.001681223,0.25,0.000955941,3,1.3446849260444325,0.3799401064620769
127,Nicaragua,NIC,2012,2.84,30.5,2,3,156854.8002,7.680000067,1760.467407,1177.274942,0.017176579,0.5,0.000232803,1,0.8997018183900743,-0.2003124218737754
128,Nigeria,NGA,2012,1.75,21.7,2,4,47670.3891,9.710000323,2723.822191,113.2282681,0.007935179,0.5,7.42e-05,2,1.4961256580938629,-0.9322188903148799
129,North Macedonia,MKD,2012,2.81,70.8,4,3,23836.2385,6.519999981,4697.196689,151.5121678,0.014960354,0.25,0.001860259,1,0.9541376657742946,3.9671345791425754
130,North Macedonia,MKD,2014,3.05,69.8,4,4,9477.603792,6.4,5468.126225,116.7810591,0.0126841,0.25,0.001805976,2,0.9541376657742946,3.2984231322426227
131,Norway,NOR,2012,8.33,72.8,4,4,8254.11,2.880000019,101524.1419,358.8804435,0.000716814,0.25,0.001394365,2,0.8696154109712886,2.0709518894192223
132,Norway,NOR,2014,9.31,67.2,4,4,8356.53,2.65999999,97019.18275,432.1746679,0.000692407,0.25,0.00127928,2,0.8696154109712886,1.7456102730634768
133,Oman,OMN,2012,2.6,22.1,2,3,54615.17201,7.630000066,21872.61054,157.0500284,0.001009886,0.5,0.000239806,1,2.3106955081142724,-0.18854044673005094
134,Oman,OMN,2014,2.86,22.1,2,4,8853.03,6.860000038,20035.21731,117.5392357,0.00110245,0.5,0.000216689,2,2.3106955081142724,-0.726994420619168
135,Pakistan,PAK,2012,0.97,61.6,2,3,1723.039533,8.360000181,1198.117637,42.83882661,0.050135909,0.5,0.000654392,1,2.6360871729905857,0.6486110066424897
136,Pakistan,PAK,2014,1.1,60.7,4,4,1883.824426,8.360000181,1251.175719,44.60324559,0.047374275,0.25,0.000636208,2,2.6360871729905857,0.10729276276573874
137,Panama,PAN,2012,6.57,56.5,5,5,23540.9,2.95,10722.25235,258.30081,0.00525558,0.2,0.000406289,3,2.036034994001813,-0.8818851445494419
138,Panama,PAN,2014,6.44,56.5,5,5,24417.9,3.039999986,12796.05753,351.5006958,0.004405703,0.2,0.000402926,3,2.036034994001813,-0.8885281366120311
139,Peru,PER,2012,2.96,44.9,2,3,12634.9291,6.490000009,6528.971775,103.7638572,0.006853501,0.5,0.000246215,1,0.9003252651503175,-0.1776761382077232
140,Peru,PER,2014,3.7,39.5,2,3,12563.8291,6.810000038,6672.877373,99.25888904,0.005902034,0.5,0.000223699,1,0.9003252651503175,-0.2154576897703589
141,Philippines,PHL,2012,1.23,34.2,4,4,9600.722044,8.910000276,2694.305109,104.9249464,0.012613554,0.25,0.000924517,2,1.6938922690002558,0.8000019250486285
142,Philippines,PHL,2014,1.86,53.0,4,4,2577.04389,8.360000181,2959.645435,22.40447693,0.017749099,0.25,0.000916549,2,1.6938922690002558,0.7798606110803712
143,Poland,POL,2012,5.85,79.7,4,4,25027.0,4.300000191,13097.27085,323.134198,0.006066797,0.25,0.002023702,2,0.546451745523348,3.9839551666025654
144,Poland,POL,2014,6.45,82.6,4,4,20964.0,2.999999976,14271.30585,352.0955236,0.005771152,0.25,0.0019579,2,0.546451745523348,3.774317051054049
145,Portugal,PRT,2012,6.07,76.3,4,4,11522.878,3.099999905,20564.88986,94.71234517,0.003703341,0.25,0.001161778,2,0.29309108410369494,1.4223879109515751
146,Portugal,PRT,2014,5.93,79.6,4,4,11459.113,4.540000057,22074.30076,115.4315165,0.003599517,0.25,0.00112685,2,0.29309108410369494,1.3281423960997998
147,Romania,ROU,2012,5.79,75.3,4,5,27503.0027,4.099999905,8507.104775,174.5134224,0.008812481,0.25,0.002090783,3,1.1052406033508657,3.6997833145211976
148,Romania,ROU,2014,6.16,77.3,4,4,30251.8278,3.219999981,10043.67745,315.857477,0.007666918,0.25,0.002093319,2,1.1052406033508657,4.207983956915029
149,Russia,RUS,2012,1.52,45.0,2,3,590.42,8.520000219,15420.87454,10.2194941,0.002913873,0.5,0.002163939,1,2.992362083713671,4.937535635465571
150,Russia,RUS,2014,2.18,50.5,5,4,33765.1113,7.970000171,14095.64874,153.4611752,0.003576263,0.2,0.002135691,2,2.992362083713671,4.3454410016940255
151,Rwanda,RWA,2014,2.01,24.1,2,2,156854.8002,9.700000333,743.559038,1246.200616,0.031897505,0.5,0.000297243,0,0.15596034670660375,0.4117453701232504
152,Saint Kitts and Nevis,KNA,2012,3.52,19.9,2,3,54488.37201,7.630000066,16046.48694,141.579391,0.001239378,0.5,,1,1.349332368539905,
153,Samoa,WSM,2012,5.96,59.5,4,3,19601.3527,4.159999943,4022.177848,146.1824198,0.014684632,0.25,0.000852337,1,1.5252054120868082,1.1194902654803023
154,Saudi Arabia,SAU,2012,2.63,22.9,2,4,54488.37201,7.730000066,25243.602,141.579391,0.000906749,0.5,0.000169012,2,1.4795035000055667,-0.8023592919487095
155,Senegal,SEN,2012,1.61,29.0,2,3,171774.2753,9.700000333,1317.779802,1246.200616,0.021768059,0.5,0.000174792,1,1.4613056700327511,-0.2935277858971248
156,Senegal,SEN,2014,1.91,37.9,4,3,23639.5891,8.910000276,1396.657339,138.5996685,0.02677456,0.25,0.000173208,1,1.4613056700327511,-0.29595689256936586
157,Serbia,SRB,2012,3.25,75.4,4,4,372.98,6.390000057,6015.945228,13.81038748,0.012455466,0.25,0.002789767,2,1.3086103251209775,6.565226067379619
158,Serbia,SRB,2014,4.48,73.8,4,4,29766.21201,4.980000019,6600.056809,213.8226858,0.011119669,0.25,0.002806253,2,1.3086103251209775,6.623395776537028
159,Sierra Leone,SLE,2014,1.58,19.7,2,2,177770.4753,9.700000333,714.6997957,1246.200616,0.027190973,0.5,0.00032967,0,0.06426867320925335,0.47107152632584937
160,Singapore,SGP,2012,10.58,70.4,4,5,14344.17,3.040000033,55546.48854,478.4654295,0.001266604,0.25,0.000439968,3,1.5113082415727794,-0.8144628176244378
